ID,X,Y,Cluster
1,0.1104,-0.5603,Green
2,0.5419,-0.272,Green
3,0.2088,0.0101,Green
4,0.3994,-0.0017,Green
5,0.1955,-0.3715,Green
6,0.2795,-0.0541,Green
7,0.3797,-0.2092,Green
8,-0.9,0.3123,Green
9,-0.0807,0.1554,Green
10,0.281,-0.1659,Green
11,-0.3488,0.2567,Green
12,-0.4955,0.0831,Green
13,-0.2701,0.7038,Green
14,-0.7858,0.0676,Green
15,-0.2384,0.3281,Green
16,0.0103,0.1446,Green
17,0.3942,-0.6068,Green
18,-0.5299,0.9,Green
19,-0.22,-0.24,Green
20,0.4219,0.3006,Green
21,0.059,-0.226,Green
22,-0.1159,-0.2164,Green
23,-0.3415,-0.1276,Green
24,0.6626,0.4308,Green
25,0.3446,0.666,Green
26,0.503,-0.0187,Green
27,0.5535,-0.4087,Green
28,0.7332,-0.4055,Green
29,0.17,-0.6842,Green
30,-0.3103,0.3038,Green
31,-0.1651,-0.7158,Green
32,-0.6196,-0.0901,Green
33,-0.0409,-0.1719,Green
34,-0.3178,-0.1497,Green
35,-0.3045,-0.3788,Green
36,0.0728,0.1156,Green
37,-0.1029,0.0607,Green
38,-0.0608,0.0691,Green
39,-0.2193,-0.0503,Green
40,-0.1211,-0.3808,Green
41,0.2935,-0.0194,Green
42,-0.8013,0.5779,Green
43,0.2084,0.4263,Green
44,0.1794,0.6516,Green
45,0.5093,-0.5629,Green
46,-0.3218,-0.1583,Green
47,0.036,-0.3717,Green
48,0.5467,-0.9,Green
49,-0.3976,-0.308,Green
50,-0.2758,-0.0839,Green
51,0.1169,0.4608,Green
52,0.2839,0.1067,Green
53,0.0545,-0.1914,Green
54,0.3266,-0.3489,Green
55,0.8456,0.4941,Green
56,-0.1017,-0.5815,Green
57,-0.4086,0.4318,Green
58,0.258,-0.1922,Green
59,0.2466,0.3284,Green
60,0.0898,0.0154,Green
61,0.3528,0.0295,Green
62,0.9,0.0121,Green
63,0.4031,0.0542,Green
64,0.137,-0.5703,Green
